CODE,DISTRICT,STATE,pincode
110058,WEST DELHI,DELHI,"DELHI, WEST DELHI 110058"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
110063,WEST DELHI,DELHI,"DELHI, WEST DELHI 110063"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110059,WEST DELHI,DELHI,"DELHI, WEST DELHI 110059"
110087,WEST DELHI,DELHI,"DELHI, WEST DELHI 110087"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110063,WEST DELHI,DELHI,"DELHI, WEST DELHI 110063"
110063,WEST DELHI,DELHI,"DELHI, WEST DELHI 110063"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110059,WEST DELHI,DELHI,"DELHI, WEST DELHI 110059"
110041,WEST DELHI,DELHI,"DELHI, WEST DELHI 110041"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110041,WEST DELHI,DELHI,"DELHI, WEST DELHI 110041"
110041,WEST DELHI,DELHI,"DELHI, WEST DELHI 110041"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110063,WEST DELHI,DELHI,"DELHI, WEST DELHI 110063"
110063,WEST DELHI,DELHI,"DELHI, WEST DELHI 110063"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110026,WEST DELHI,DELHI,"DELHI, WEST DELHI 110026"
110026,WEST DELHI,DELHI,"DELHI, WEST DELHI 110026"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110026,WEST DELHI,DELHI,"DELHI, WEST DELHI 110026"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
110087,WEST DELHI,DELHI,"DELHI, WEST DELHI 110087"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110059,WEST DELHI,DELHI,"DELHI, WEST DELHI 110059"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
